Puzzle Number	 Algorithm	 Heuristic	 Solution Length	 Search Length	 Runtime
47           	 GBFS     	 h2       	 17             	 772          	 0.373323917388916
47           	 GBFS     	 h3       	 17             	 772          	 0.4209780693054199
47           	 GBFS     	 h4       	 15             	 686          	 0.2819650173187256
47           	 ASTAR    	 h1       	 11             	 985          	 0.4214608669281006
47           	 ASTAR    	 h2       	 11             	 985          	 0.43401193618774414
47           	 ASTAR    	 h3       	 12             	 841          	 0.29479289054870605
47           	 ASTAR    	 h4       	 11             	 787          	 0.33862972259521484
48           	 UCS      	 NA       	 7              	 50           	 0.004417896270751953
48           	 GBFS     	 h1       	 7              	 31           	 0.004575014114379883
48           	 GBFS     	 h2       	 7              	 31           	 0.00433802604675293
48           	 GBFS     	 h3       	 7              	 31           	 0.004673957824707031
48           	 GBFS     	 h4       	 7              	 22           	 0.0040607452392578125
48           	 ASTAR    	 h1       	 7              	 42           	 0.00592803955078125
48           	 ASTAR    	 h2       	 7              	 42           	 0.007235050201416016
48           	 ASTAR    	 h3       	 7              	 31           	 0.004477024078369141
48           	 ASTAR    	 h4       	 7              	 40           	 0.007725954055786133
49           	 UCS      	 NA       	 4              	 35           	 0.0030469894409179688
49           	 GBFS     	 h1       	 4              	 4            	 0.0008387565612792969
49           	 GBFS     	 h2       	 4              	 4            	 0.001068115234375
49           	 GBFS     	 h3       	 4              	 4            	 0.0009710788726806641
49           	 GBFS     	 h4       	 4              	 4            	 0.0014340877532958984
49           	 ASTAR    	 h1       	 4              	 14           	 0.0022819042205810547
49           	 ASTAR    	 h2       	 4              	 7            	 0.0011320114135742188
49           	 ASTAR    	 h3       	 4              	 4            	 0.0011281967163085938
49           	 ASTAR    	 h4       	 4              	 7            	 0.0015501976013183594
50           	 UCS      	 NA       	 None           	 1            	 7.486343383789062e-05
50           	 GBFS     	 h1       	 None           	 1            	 0.00011014938354492188
50           	 GBFS     	 h2       	 None           	 1            	 8.106231689453125e-05
50           	 GBFS     	 h3       	 None           	 1            	 6.604194641113281e-05
50           	 GBFS     	 h4       	 None           	 0            	 5.698204040527344e-05
50           	 ASTAR    	 h1       	 None           	 1            	 6.389617919921875e-05
50           	 ASTAR    	 h2       	 None           	 1            	 6.389617919921875e-05
50           	 ASTAR    	 h3       	 None           	 1            	 6.318092346191406e-05
50           	 ASTAR    	 h4       	 None           	 0            	 5.602836608886719e-05
