 3  0  3 IJBBCCIJDDL.IJAAL.EEK.L...KFF..GGHH.
10  7  3 .BBCC.I.DDL.IJAAL.IJEEL..JKFF.GGKHH. C99 I99 B99 J98 E98 K99 G5 
10  7  3 IBBCC.I.DDL.IJAAL..JEEL..JKFF.GGK.HH H99 C99 B99 J98 E98 K99 G5 
10  7  3 ..BBCCDD..L.IJAAL.IJEEL.IJKFF.GGK.HH H99 D98 I98 J98 E98 K99 G5 
10  7  3 BB..CC.JDDL.IJAAL.IJEEL.I.KFF.GGK.HH B98 I98 J99 H99 E98 K99 G5 
10  7  3 BB.CC...DDL.IJAAL.IJEEL.IJKFF.GGKHH. C99 B98 I98 J98 E98 K99 G5 
10  7  3 BBCC....DDL.IJAAL.IJEEL.IJKFF.GGKHH. C98 B98 I98 J98 E98 K99 G5 
10  7  3 IBBCC.IDD.L.IJAAL..JEEL..JKFF.GGKHH. C99 B99 D99 J98 E98 K99 G5 
10  7  3 BBCC..IJDDL.IJAAL.IJEEL...KFF.GGKHH. C98 B98 I99 J99 E98 K99 G5 
10  7  3 .BB.CCIJDDL.IJAAL.IJEEL...KFF.GGK.HH B99 J99 I99 H99 E98 K99 G5 
10  7  3 BB..CCI.DDL.IJAAL.IJEEL..JKFF.GGK.HH B98 I99 H99 J98 E98 K99 G5 
10  7  3 IBB.CCIDD.L.IJAAL..JEEL..JKFF.GGK.HH B99 H99 D99 J98 E98 K99 G5 
10  7  3 ..BBCCIDD.L.IJAAL.IJEEL..JKFF.GGK.HH H99 I99 D99 J98 E98 K99 G5 
10  7  3 BB..CC.DD.L.IJAAL.IJEEL.IJKFF.GGKHH. B98 D99 I98 J98 E98 K99 G5 
10  7  3 BB..CCDD..L.IJAAL.IJEEL.IJKFF.GGKHH. B98 D98 I98 J98 E98 K99 G5 
10  7  3 .BB.CC.DD.L.IJAAL.IJEEL.IJKFF.GGKHH. I98 B99 D99 J98 E98 K99 G5 
10  7  3 .BB.CCIDD.L.IJAAL.IJEEL..JKFF.GGKHH. B99 I99 D99 J98 E98 K99 G5 
10  7  3 .BBCC.IJDDL.IJAAL.IJEEL...KFF.GGKHH. I99 C99 B99 J99 E98 K99 G5 
10  7  3 IBBCC.IJDDL.IJAAL..JEEL...KFF.GGK.HH H99 C99 B99 J99 E98 K99 G5 
